#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Dragon Saber - After Story of Dragon Spirit (Japan);Dragon Saber - After Story of Dragon Spirit (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Dragon Saber - After Story of Dragon Spirit (Japan) (Alt 1);Dragon Saber - After Story of Dragon Spirit (Japan) (Alt 1);ra-tg16;;;;;;;;;;;;;;;;;;
Dragon Spirit (Japan);Dragon Spirit (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Dragon Spirit (USA);Dragon Spirit (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Dragon's Curse (USA);Dragon's Curse (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Drop Rock Hora Hora (Japan);Drop Rock Hora Hora (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Drop Rock Hora Hora (Japan) (Alt 1);Drop Rock Hora Hora (Japan) (Alt 1);ra-tg16;;;;;;;;;;;;;;;;;;
Drop.Off (USA);Drop.Off (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Druaga no Tou (Japan);Druaga no Tou (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Dungeon Explorer (Japan);Dungeon Explorer (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Dungeon Explorer (USA);Dungeon Explorer (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Energy (Japan);Energy (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Eternal City - Toshi Tensou Keikaku (Japan);Eternal City - Toshi Tensou Keikaku (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
F-1 Dream (Japan);F-1 Dream (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
F-1 Pilot - You're King of Kings (Japan);F-1 Pilot - You're King of Kings (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
F1 Circus '91 - World Championship (Japan);F1 Circus '91 - World Championship (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
F1 Circus '92 - The Speed of Sound (Japan);F1 Circus '92 - The Speed of Sound (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
F1 Circus (Japan);F1 Circus (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
F1 Circus (Japan) (Alt 1);F1 Circus (Japan) (Alt 1);ra-tg16;;;;;;;;;;;;;;;;;;
F1 Triple Battle (Japan);F1 Triple Battle (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Falcon (USA);Falcon (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Fantasy Zone (Japan);Fantasy Zone (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Fantasy Zone (USA);Fantasy Zone (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Fighting Run (Japan);Fighting Run (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Final Blaster (Japan);Final Blaster (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Final Lap Twin (Japan);Final Lap Twin (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Final Lap Twin (USA);Final Lap Twin (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Final Match Tennis (Japan);Final Match Tennis (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Final Soldier (Japan) (En);Final Soldier (Japan) (En);ra-tg16;;;;;;;;;;;;;;;;;;
Final Soldier (Japan) (En) (Special Version);Final Soldier (Japan) (En) (Special Version);ra-tg16;;;;;;;;;;;;;;;;;;
Fire Pro Wrestling - Combination Tag (Japan);Fire Pro Wrestling - Combination Tag (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Fire Pro Wrestling 2 - 2nd Bout (Japan);Fire Pro Wrestling 2 - 2nd Bout (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Fire Pro Wrestling 3 - Legend Bout (Japan);Fire Pro Wrestling 3 - Legend Bout (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Formation Soccer - Human Cup '90 (Japan);Formation Soccer - Human Cup '90 (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Formation Soccer - On J. League (Japan);Formation Soccer - On J. League (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Fushigi no Yume no Alice (Japan);Fushigi no Yume no Alice (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Gai Flame (Japan);Gai Flame (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Gaia no Monshou (Japan);Gaia no Monshou (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Galaga '88 (Japan);Galaga '88 (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Galaga '90 (USA);Galaga '90 (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Ganbare! Golf Boys (Japan);Ganbare! Golf Boys (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Gekisha Boy (Japan);Gekisha Boy (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Genji Tsuushin Agedama (Japan);Genji Tsuushin Agedama (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Genpei Toumaden (Japan);Genpei Toumaden (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Genpei Toumaden - Kan no Ni (Japan);Genpei Toumaden - Kan no Ni (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Ghost Manor (USA);Ghost Manor (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Gokuraku! Chuuka Taisen (Japan);Gokuraku! Chuuka Taisen (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Gomola Speed (Japan);Gomola Speed (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Gradius (Japan);Gradius (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Gunboat (USA);Gunboat (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Gunhed (Japan);Gunhed (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
